"indice","num_tema_cadastrado","sugerido_1","sugerido_2","sugerido_3","sugerido_4","sugerido_5","sugerido_6","similaridade_1","similaridade_2","similaridade_3","similaridade_4","similaridade_5","similaridade_6","posicao_tema_real"
1,1150,1150,1125,1109,0,0,0,82,9,9,0,0,0,1
2,1150,1150,1125,1160,0,0,0,82,9,9,0,0,0,1
3,1150,1150,1174,1178,0,0,0,86,7,7,0,0,0,1
4,1150,1150,1109,1076,0,0,0,82,9,9,0,0,0,1
5,1150,1150,1178,1125,0,0,0,84,8,8,0,0,0,1
6,1150,1150,1109,0,0,0,0,61,39,0,0,0,0,1
7,1150,1150,1125,1109,0,0,0,78,11,11,0,0,0,1
8,14,1033,0,0,0,0,0,100,0,0,0,0,0,0
9,14,1169,1130,1005,503,0,0,36,25,24,15,0,0,0
10,14,1033,1178,1169,0,0,0,67,18,15,0,0,0,0
11,14,1130,1033,1169,1178,503,0,24,23,26,16,11,0,0
12,14,1033,1130,1169,1178,0,0,38,26,19,17,0,0,0
13,14,1130,1033,1169,1178,503,0,26,24,26,14,10,0,0
14,14,1130,1033,1169,1178,503,0,24,23,26,16,11,0,0
15,14,1130,1033,1169,1178,503,0,24,23,26,16,11,0,0
16,14,1033,1169,1130,1178,0,0,29,31,24,16,0,0,0
17,14,1033,1169,1130,1178,0,0,28,30,25,17,0,0,0
18,14,1033,1169,1130,1178,0,0,28,30,25,17,0,0,0
19,14,1033,1130,1169,1178,0,0,40,25,19,16,0,0,0
20,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
21,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
22,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
23,14,1033,1130,1169,1178,0,0,40,26,19,15,0,0,0
24,14,1033,1169,1178,0,0,0,58,27,15,0,0,0,0
25,14,1033,1178,1169,0,0,0,67,20,13,0,0,0,0
26,14,1033,1178,1169,0,0,0,69,17,14,0,0,0,0
27,14,1169,1033,1178,503,1130,0,39,23,15,12,11,0,0
28,14,1033,1178,1169,1130,0,0,53,20,15,12,0,0,0
29,14,1033,1178,1169,0,0,0,64,21,15,0,0,0,0
30,14,1033,1169,1178,0,0,0,69,17,14,0,0,0,0
31,14,1033,1130,1169,1178,0,0,44,25,16,15,0,0,0
32,14,1169,1033,1178,503,1130,0,39,23,15,12,11,0,0
33,14,1169,1033,1130,1178,0,0,28,28,26,18,0,0,0
34,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
35,14,1033,1178,1169,0,0,0,68,18,14,0,0,0,0
36,14,1033,1130,1178,1169,0,0,41,25,19,15,0,0,0
37,14,1033,1178,1169,1130,0,0,54,20,14,12,0,0,0
38,14,1033,1178,1169,0,0,0,68,17,15,0,0,0,0
39,14,1033,1169,1178,0,0,0,56,27,17,0,0,0,0
40,14,1033,1178,1169,1130,0,0,53,20,15,12,0,0,0
41,14,1033,1130,1178,1169,0,0,42,24,18,16,0,0,0
42,14,1033,1130,1169,1178,0,0,45,26,15,14,0,0,0
43,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
44,14,1169,1130,1178,503,1033,0,35,24,17,13,11,0,0
45,14,1033,1169,1130,1178,0,0,29,31,24,16,0,0,0
46,14,1033,1130,1169,1178,0,0,41,24,19,16,0,0,0
47,14,1033,1178,1169,0,0,0,69,18,13,0,0,0,0
48,14,1033,1178,1169,0,0,0,68,18,14,0,0,0,0
49,14,1169,1033,1178,0,0,0,41,40,19,0,0,0,0
50,14,1033,1169,1130,1178,0,0,28,30,25,17,0,0,0
51,14,1033,1169,1130,1178,0,0,35,26,23,16,0,0,0
52,14,1130,1033,1169,1178,503,0,24,23,26,16,11,0,0
53,14,1033,1169,1130,1178,0,0,31,28,26,15,0,0,0
54,14,1033,1130,1169,1178,0,0,41,26,19,14,0,0,0
55,14,1033,1178,1169,0,0,0,67,18,15,0,0,0,0
56,14,1033,1178,1169,0,0,0,67,19,14,0,0,0,0
57,14,1033,1169,1178,0,0,0,47,35,18,0,0,0,0
58,14,1033,1169,1130,1178,0,0,33,27,26,14,0,0,0
59,14,1033,1169,1130,1178,0,0,28,30,25,17,0,0,0
60,14,1033,1178,1169,0,0,0,68,18,14,0,0,0,0
61,14,1130,1169,1178,503,1033,0,29,25,22,12,12,0,0
62,14,1033,1130,1178,1169,1056,0,24,23,23,19,11,0,0
63,14,1033,1169,1178,1056,1130,0,39,21,18,11,11,0,0
64,14,1033,1130,1178,1169,0,0,45,26,15,14,0,0,0
65,14,1033,1178,1169,0,0,0,66,20,14,0,0,0,0
66,14,1033,1178,1169,0,0,0,66,19,15,0,0,0,0
67,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
68,14,1033,1169,1178,0,0,0,55,27,18,0,0,0,0
69,14,1169,1130,1178,503,1033,0,35,24,17,13,11,0,0
70,14,1169,1130,1178,503,1033,0,29,28,20,12,11,0,0
71,14,1033,1178,1169,0,0,0,68,17,15,0,0,0,0
72,14,1033,1130,1178,1169,0,0,40,25,19,16,0,0,0
73,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
74,14,1169,1130,1178,503,1033,0,35,24,17,13,11,0,0
75,14,1033,1169,1178,0,0,0,59,21,20,0,0,0,0
76,14,1033,1130,1178,1169,0,0,42,26,18,14,0,0,0
77,14,1033,1130,1178,1169,0,0,40,27,18,15,0,0,0
78,14,1169,1130,1178,503,1033,0,29,28,20,12,11,0,0
79,14,1033,1169,1178,1130,0,0,44,26,18,12,0,0,0
80,14,1033,1169,1178,1130,0,0,44,26,18,12,0,0,0
81,14,1033,1130,1178,1169,0,0,40,24,21,15,0,0,0
82,14,1033,1130,1178,1169,0,0,42,24,18,16,0,0,0
83,14,1033,1130,1169,1178,0,0,31,27,27,15,0,0,0
84,14,1169,1130,1178,1033,503,0,37,24,15,13,11,0,0
85,14,1033,1130,1169,1178,0,0,38,27,19,16,0,0,0
86,14,1033,1130,1178,1169,0,0,39,25,20,16,0,0,0
87,14,1033,1169,1130,1178,0,0,29,31,24,16,0,0,0
88,14,1033,1130,1169,1178,0,0,40,26,19,15,0,0,0
89,14,1033,1178,1169,0,0,0,68,19,13,0,0,0,0
90,14,1033,1169,1178,0,0,0,59,27,14,0,0,0,0
91,14,1033,1169,1178,0,0,0,54,27,19,0,0,0,0
92,14,1169,1033,1130,1178,0,0,33,28,23,16,0,0,0
93,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
94,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
95,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
96,14,1130,1033,1169,1178,0,0,33,29,25,13,0,0,0
97,14,1033,1169,1178,1130,0,0,44,26,18,12,0,0,0
98,14,1033,1130,1169,1178,0,0,31,27,26,16,0,0,0
99,14,1033,1178,1169,1130,0,0,55,19,14,12,0,0,0
