Origem,Recall,F1-score,MAP,NDCG,MRR
BERTOPIC_PALAVRAS_10_REMOCAO_BM25,0.45010669009664867,0.36197,0.30270281578176644,0.33979355190149096,0.30270281578176644
BERTOPIC_GUIADO_PALAVRAS_10_REMOCAO_BM25,0.4609012175222794,0.37282,0.312997364127024,0.35016174094573443,0.312997364127024
LEXRANK_SENTENCAS_10_REMOCAO_BM25,0.5624450859796661,0.43348,0.35262959708798797,0.40491376366086285,0.35262959708798797
BERTOPIC_PALAVRAS_10_REMOCAO_COSSENO,0.363875988452366,0.28014,0.2277352412032969,0.26082829181574174,0.2277352412032969
BERTOPIC_GUIADO_PALAVRAS_10_REMOCAO_COSSENO,0.3479352328354462,0.25772,0.20465252499895403,0.2399405863524873,0.20465252499895403
LEXRANK_SENTENCAS_10_REMOCAO_COSSENO,0.3513242123760512,0.26773,0.21626919375758338,0.24970010115688937,0.21626919375758338
BERTOPIC_PALAVRAS_15_REMOCAO_BM25,0.5265470064014058,0.42722,0.359424291870633,0.4014437543021123,0.359424291870633
BERTOPIC_GUIADO_PALAVRAS_15_REMOCAO_BM25,0.5269235596836952,0.43334,0.3679783272666416,0.4079243864270362,0.3679783272666416
LEXRANK_SENTENCAS_15_REMOCAO_BM25,0.6218149868206351,0.47468,0.383852140077821,0.4422915499574606,0.383852140077821
BERTOPIC_PALAVRAS_15_REMOCAO_COSSENO,0.44897703024978036,0.33582,0.26822517886280905,0.3133994924617307,0.26822517886280905
BERTOPIC_GUIADO_PALAVRAS_15_REMOCAO_COSSENO,0.4409438935609389,0.32664,0.25939918831848036,0.30467438632637667,0.25939918831848036
LEXRANK_SENTENCAS_15_REMOCAO_COSSENO,0.3523283544621564,0.26975,0.21853688130203758,0.2517046542437591,0.21853688130203758
BERTOPIC_PALAVRAS_20_REMOCAO_BM25,0.5052089870716706,0.40881,0.34330153550060666,0.38371723411834524,0.34330153550060666
BERTOPIC_GUIADO_PALAVRAS_20_REMOCAO_BM25,0.5373415338270365,0.44227,0.37578553198610937,0.41617597895136216,0.37578553198610937
LEXRANK_SENTENCAS_20_REMOCAO_BM25,0.624199824275135,0.48668,0.39881176519810885,0.45441593128522395,0.39881176519810885
BERTOPIC_PALAVRAS_20_REMOCAO_COSSENO,0.41759759005899333,0.30654,0.24214258817622694,0.28557323572020904,0.24214258817622694
BERTOPIC_GUIADO_PALAVRAS_20_REMOCAO_COSSENO,0.4059244383080206,0.31376,0.2557026902640057,0.29363629431042987,0.2557026902640057
LEXRANK_SENTENCAS_20_REMOCAO_COSSENO,0.35433663863436676,0.27004,0.2181477762436718,0.2519104215450416,0.2181477762436718
