sequencialPrecedente;tipoPrecedente;numeroPrecedente;dataPrimeiraAfetacao;dataJulgamento;dataPublicacaoAcordao;situacao;informacoesComplementares;questaoSubmetidaAJulgamento;teseFirmada;anotacoesNUGEPNAC;delimitacaoJulgado;entendimentoAnterior;referenciaLegislativa;referenciaSumular;sumulaOriginada;audienciaPublica;dataAudienciaPublica;orgaoJulgador;Assuntos;numeroRepercussaoGeralSTF;descricaoRepercussaoGeral
"1601";"Controvérsia";"1";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para cancelada em: 16/5/2017.Situação alterada de cancelada para pendente em: 25/9/2017.Situação alterada de pendente para cancelada em: 24/11/2017.Situação alterada de cancelada para vinculada a tema em: 10/6/2019.";"Validade da cláusula contratual de plano de saúde que prevê o aumento da mensalidade conforme a mudança de faixa etária do usuário na modalidade dos planos de saúde coletivos.";"";"VIDE TEMA 1016/STJ.A situação da presente controversa foi alterada para CANCELADA em razão das decisões monocráticas nos REsps 1.680.782/SC, 1.680.773/SC, 1.680.780/SC e 1.680.270/SC (DJe de 24/11/2017) de rejeição expressa, pelo Ministro relator Antonio Carlos Ferreira, ante a aplicação do TEMA 952/STJ.REsps n. 1.633.613/SC, 1.633.614/SC e 1.633.749/SC - rejeição presumida da condição de representativo da controvérsia - decurso do prazo de 60 dias úteis (art. 256-G do RISTJ).";"";"";"";"";"";"N";"";"S2 ";"1156- DIREITO DO CONSUMIDOR, 7771- Contratos de Consumo, 6233- Planos de Saúde";"";""
"1602";"Controvérsia";"2";"";"";"";"Controvérsia Pendente";"Temas Repetitivos correlatos n. 50/STJ e n. 51/STJ (julgados pela Segunda Seção antes da edição da Lei n. 13.000/2014).Nos termos do despacho do Ministro Presidente da Comissão Gestora de Precedentes a ""Lei n. 13.000, de 18 de junho de 2014, editada após o julgamento dos referidos temas repetitivos, regulamentou os casos em que a CEF intervirá nas ações judiciais que representem risco ou impacto jurídico ou econômico ao FCVS e fez surgir possível nova controvérsia repetitiva relacionada ao tema.Em razão da multiplicidade de processos, o TRF da 4ª Região e o TRF da 5ª Região admitiram Incidente de Resolução de Demandas Repetitivas (IRDR), nos termos do art. 976 e seguintes do CPC, sobre questão jurídica correlata a esta Controvérsia. Tema em IRDR n. 10/TRF4 (5052192-11.2016.4.04.0000)Tema em IRDR n. 6/TRF5 (0804575-80.0.016.4.05.000)";"Definir se a Lei n. 13.000/2014, que assegurou a intervenção da CEF como representante judicial do FCVS, é suficiente para atrair a competência da Justiça Federal nos feitos em que se discute  cobertura securitária, no âmbito do Sistema Financeiro da habitação - SFH, quando se tratar de apólice pública.";"";"O Ministro Relator determinou a comunicação ao Vice-Presidente do TRF da 4ª Região para que permaneçam suspensos os julgamentos dos processos em primeiro e segundo graus de jurisdição, em trâmite no Estado ou na região, envolvendo a controvérsia, informando que deixou de proceder à análise do preenchimento dos requisitos formais para a admissão dos recursos, previstos no art. 256-E, II, do RISTJ, a fim de aguardar o pronunciamento final da Corte Especial no CC n. 148.188/DF, no qual se decidirá sobre a competência interna - entre a Primeira e a Segunda Seções do STJ - para o julgamento da matéria em discussão (despachos publicados nos DJes de 11/05/2017, 04/10/2017, 07/11/2017, 16/04/2018). Recursos Especiais n. 1.682.034/PR, 1.689.160/PR e 1.689.339/PR - selecionados como representativos da controvérsia pelo 1º Vice-Presidente do Tribunal de Justiça do Estado do Paraná.";"";"";"";"";"";"N";"";"S2 ";"4839- Sistema Financeiro da Habitação, 8866- Litisconsórcio , 899- DIREITO CIVIL, 8828- Jurisdição e Competência";"1011";"Controvérsia relativa à existência de interesse jurídico da Caixa Econômica Federal para ingressar como parte ou terceira interessada nas ações envolvendo seguros de mútuo habitacional no âmbito do Sistema Financeiro de Habitação e, consequentemente, à competência da Justiça Federal para o processamento e o julgamento das ações dessa natureza."
"1603";"Controvérsia";"3";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para vinculada a tema em: 18/8/2017";"Discute-se o termo inicial do prazo prescricional da cobrança judicial do Imposto Predial e Territorial Urbano - IPTU, bem como sobre a possibilidade de o parcelamento de ofício da dívida tributária ser considerada causa suspensiva da contagem da prescrição.";"";"Controvérsia vinculada ao TEMA 980/STJ.";"";"";"";"";"";"N";"";"S1 ";"14- DIREITO TRIBUTÁRIO, 6017- Dívida Ativa (Execução Fiscal), 5916- Impostos, 5952- IPTU/ Imposto Predial e Territorial Urbano";"";""
"1604";"Controvérsia";"4";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para cancelada em: 20/6/2017Situação alterada de cancelada para vinculada a tema em: 16/8/2017";"Aplicação do inciso II do art. 115 da Lei 8.213/91, que dispõe sobre a possibilidade de serem descontados dos benefícios previdenciários pagamentos indevidos.";"";"Controvérsia vinculada ao TEMA 979/STJ";"";"";"";"";"";"N";"";"S1 ";"195- DIREITO PREVIDENCIÁRIO, 6094- Benefícios em Espécie, 6101- Auxílio por Incapacidade Temporária";"";""
"1621";"Controvérsia";"5";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para vinculada a tema em: 11/5/2017";"Aplicabilidade da Súmula 345 do STJ diante da superveniência do art. 85, § 7, do Novo CPC.";"";"Controvérsia vinculada ao TEMA 973/STJ.REsp n. 1659077/RS, 1659147/RS, 1659148/RS, 1659079/RS, 1659149/RS, 1659155/RS, 1659157/RS e 1659513/RS - determinada a devolução ao Tribunal de origem, ""para que, após a publicação do acórdão a ser proferido no recurso representativo da controvérsia e em observância ao art. 1.040 do CPC/2015: a) negue seguimento ao recurso se a decisão recorrida coincidir com a orientaçã emanada pelo Tribunal Superior ou b) proceda ao juízo de retratação na hipótese de o acórdão vergastado divergir da decisão sobre o tema repetitivo"" (DJe de 11/05/2017 e DJe 16/05/2017).";"";"";"";"";"";"N";"";"CE ";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO, 8842- Partes e Procuradores, 8874- Sucumbência, 10656- Honorários Advocatícios em Execução Contra a Fazenda Pública";"";""
"1622";"Controvérsia";"6";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para vinculado a tema em: 3/5/2017";"Obrigatoriedade de fornecimento, pelo Estado, de medicamentos não contemplados na Portaria n. 2.577/2006 do Ministério da Saúde (Programa de Medicamentos Excepcionais).";"";"Controvérsia vinculada ao TEMA 106/STJ";"";"";"";"";"";"N";"";"S1 ";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 11884- Fornecimento de Medicamentos";"";""
"1609";"Controvérsia";"7";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para vinculada a tema em: 24/8/2017";"Discute-se a possibilidade da concessão do acréscimo de 25% previsto no art. 45 da Lei n. 8.213/91, sobre o valor do benefício em caso de o segurado necessitar de assistência permanente de outra pessoa, independentemente da espécie de aposentadoria.";"";"Controvérsia vinculada ao TEMA 982/STJPUIL 236 (2016/0296822-0)Tema em IRDR n. 05/TRF4 (IRDR n. 5026813-68.2016.4.04.0000/RS)";"";"";"";"";"";"N";"";"S1 ";"195- DIREITO PREVIDENCIÁRIO, 6094- Benefícios em Espécie, 6173- Pedidos Genéricos Relativos aos Benefícios em Espécie";"";""
"1610";"Controvérsia";"8";"";"";"";"Controvérsia Cancelada";"Situação alterada de pendente para cancelada em: 23/6/2017.Situação alterada de cancelada para pendente em: 25/9/2017.Situação alterada de pendente para cancelada em: 13/12/2017.";"Efeito repristinatório da declaração de inconstitucionalidade da contribuição incidente sobre a produção rural em relação ao produtor rural pessoa física, prevista nos incisos I e II do artigo 25 da Lei n. 8.212/91, com redação dada pelas Leis n. 8.540/92 e 9.528/97.";"";"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (REsp 1.657.804 - decisão publicada no DJe de 13/12/2017).";"";"";"";"";"";"N";"";"S1 ";"14- DIREITO TRIBUTÁRIO, 6031- Contribuições, 6033- Contribuições Sociais, 6040- Funrural";"923";"Efeito repristinatório pela declaração de inconstitucionalidade dos incs. I e II do art. 25 da Lei n. 8.212/1991 alterada pelas Leis ns. 8.540/1992 e 9.528/1997."
"1623";"Controvérsia";"9";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para vinculada a tema em: 23/6/2017.";"Competência para processo e julgamento de demandas com pedidos ilíquidos em face da massa falida: se é competente o juízo no qual se processa o feito falimentar, ou o juízo cível em que inicialmente proposta a ação de conhecimento apropriada.";"";"REsp n. 1.642.906/SP - determinada a baixa ao Tribunal de origem, a fim de que aguardem, tanto a afetação, pelo colegiado da Primeira Seção, do REsp 1.643.873/SP, quanto o seu posterior julgamento final.Controvérsia vinculada ao TEMA 976/STJ.";"";"";"";"";"";"N";"";"S1 ";"8826- DIREITO PROCESSUAL CIVIL E DO TRABALHO, 8829- Competência, 9148- Liquidação / Cumprimento / Execução, 9418- Concurso de Credores";"";""
"1624";"Controvérsia";"10";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para vinculada a tema em: 24/8/2017";"Discute-se se será reconhecida a responsabilidade tributária na forma do artigo 135, III, do Código Tributário Nacional, para fins de redirecionamento da execução fiscal: (I) apenas do sócio que exercia a gerência da empresa devedora à época do fato gerador; (II) do sócio presente quando do encerramento irregular das atividades empresariais; ou (III) somente do sócio que era administrador tanto à época do fato gerador como da dissolução irregular.";"";"Controvérsia vinculada ao TEMA 981/STJ.";"";"";"";"";"";"N";"";"S1 ";"14- DIREITO TRIBUTÁRIO, 5978- Obrigação Tributária, 5979- Responsabilidade tributária, 5980- Responsabilidade Tributária do Sócio-Gerente / Diretor / Representante, 899- DIREITO CIVIL, 9616- Empresas, 5724- Sociedade, 4935- Dissolução";"";""
"1625";"Controvérsia";"11";"";"";"";"Controvérsia Cancelada";"Situação alterada de pendente para cancelada em: 11/4/2017";"Configuração de maus antecedentes em virtude de anotações na Folha de Antecedentes Criminais, que não representem reincidência.";"";"O REsp n. 1.653.737/RJ teve sua indicação rejeitada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais(decisão publicada no DJe de 11/4/2017).A situação da presente controvérsia foi alterada para cancelada em razão do não envio de outros recursos representativos da controvérsia pelo Tribunal de origem.";"";"";"";"";"";"N";"";"S3 ";"287- DIREITO PENAL, 10620- Parte Geral, 10621- Aplicação da Pena, 10628- Substituição da Pena, 3603- Crimes Previstos na Legislação Extravagante, 3607- Crimes de Tráfico Ilícito e Uso Indevido de Drogas, 3633- Crimes do Sistema Nacional de Armas";"";""
"1632";"Controvérsia";"12";"";"";"";"Controvérsia Cancelada";"Situação alterada de pendente para cancelada em: 25/5/2017.";"Possibilidade de se obrigar o Poder Público a fornecer medicamento a pessoa necessitada sem necessidade de submeter o paciente à perícia médica do SUS.";"";"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 25/05/2017).";"";"";"";"";"";"N";"";"S1 ";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 11884- Fornecimento de Medicamentos";"";""
"1642";"Controvérsia";"13";"";"";"";"Controvérsia Cancelada";"Situação alterada de pendente para cancelada em: 22/5/2017.";"Utilização de inquéritos policiais e ações penais em curso como configuração de maus antecedentes que não representem reincidência para agravar a pena-base do réu.";"";"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 22/5/2017).";"";"";"";"444";"";"N";"";"S3 ";"287- DIREITO PENAL, 10621- Aplicação da Pena";"";""
"1643";"Controvérsia";"14";"";"";"";"Controvérsia Vinculada a Tema";"Situação alterada de pendente para cancelada em: 20/9/2017Situação alterada de cancelada para pendente em: 4/10/2018Situação alterada de pendente para vinculada a tema em: 11/3/2019";"Se o início da contagem dos prazos para obtenção de eventuais benefícios na execução da pena é contado do trânsito em julgado de nova condenação do apenado.";"";"Controvérsia vinculada ao TEMA 1006/STJ (ProAfR 31).O REsp n. 1.666.621/MT teve sua situação alterada para rejeitado pelo relator em razão da rejeição presumida da condição de representativo da controvérsia (art. 256-G do RISTJ).Em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais, os REsps 1.665.607/MT e 1.665.603/MT foram rejeitados da condição de representativos da controvérsia (decisões publicadas nos DJe de 13 e 20/9/2017).";"";"";"";"";"";"N";"";"S3 ";"1209- DIREITO PROCESSUAL PENAL, 7942- Execução Penal e de Medidas Alternativas, 8928-  Prazo";"";""
"1644";"Controvérsia";"15";"";"";"";"Controvérsia Cancelada";"Situação alterada de pendente para cancelada em: 29/05/2017";"Possibilidade de condenar o Poder Público a fornecer medicamento não registrado pela Anvisa.";"";"A situação da presente controvérsia foi alterada para cancelada em razão do disposto no art. 256-E, I, do RISTJ que prevê hipótese de rejeição, de forma fundamentada, da indicação do recurso especial representativo da controvérsia devido à ausência dos pressupostos recursais genéricos ou específicos e ao não cumprimento dos requisitos regimentais (decisão publicada no DJe de 29/05/2017).";"";"";"";"";"";"N";"";"S1 ";"9985- DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, 10064- Saúde, 11884- Fornecimento de Medicamentos";"500";"Dever do Estado de fornecer medicamento não registrado pela ANVISA."
